title,composer_name,year,status
"Bathroom Dance (Joker)","Hildur Guðnadóttir",2019,"validated"
"Spiegel im Spiegel","Arvo Pärt",1978,"validated"
"Madres Paralelas Suite","Alberto Iglesias",2021,"validated"
"L'Amour de loin","Kaija Saariaho",2000,"validated"
"On the Nature of Daylight","Max Richter",2004,"validated"
"Alexina B.","Raquel García-Tomás",2023,"pending"
"Glassworks","Philip Glass",1981,"validated"
"Sonnengesang","Sofia Gubaidulina",1997,"validated"
"Requiem","Bernat Vivancos",2015,"validated"
"Partita for 8 Voices","Caroline Shaw",2013,"validated"
